"","x","y","date"
"1",4202275,3010706,2023-10-17
"2",4438020,2762328,2024-08-31
"3",4283569,3341535,2024-02-26
"4",4462404,3362980,2023-11-07
"5",4273414,2944823,2022-01-29
"6",4364698,3240593,2021-10-19
"7",4262584,3467724,2025-03-26
"8",4328835,3008760,2023-10-23
"9",4439270,2819808,2022-06-26
"10",4310377,3345053,2024-11-15
"11",4595034,3103343,2022-08-09
"12",4280185,3075966,2024-04-13
"13",4346930,3209323,2022-03-15
"14",4457354,3354942,2021-05-02
"15",4372406,3384162,2021-03-22
"16",4297751,3025251,2022-03-04
"17",4541454,3333395,2024-08-09
"18",4349344,3218199,2022-05-22
"19",4130839,3021856,2022-01-18
"20",4457870,3201847,2021-10-24
"21",4342386,3367922,2021-09-12
"22",4439974,3289217,2025-01-17
"23",4249810,3513602,2024-10-03
"24",4132963,3198786,2022-07-20
"25",4173291,2959105,2024-05-24
"26",4045966,3082479,2024-04-26
"27",4374740,3289758,2021-10-17
"28",4511989,3178642,2021-09-22
"29",4278293,3267009,2021-07-30
"30",4498357,3438989,2021-02-10
"31",4396283,2783398,2025-03-07
"32",4249449,3393650,2024-04-01
"33",4421712,3064781,2025-01-01
"34",4438822,3084579,2021-01-13
"35",4486123,2856424,2025-05-29
"36",4375428,3461561,2025-02-14
"37",4207497,3343364,2020-12-16
"38",4575685,3186338,2025-01-03
"39",4448929,3331296,2021-07-16
"40",4444747,3260034,2025-03-25
"41",4277762,3314855,2025-05-08
"42",4522775,3104573,2024-04-09
"43",4205840,3218878,2024-03-25
"44",4497759,2752206,2025-04-21
"45",4627588,3098923,2020-03-22
"46",4568188,3211731,2020-03-03
"47",4418097,3316100,2020-07-10
"48",4418186,3403424,2025-06-14
"49",4162511,3307490,2023-03-28
"50",4069758,2961571,2022-01-31
"51",4087808,3092065,2023-04-26
"52",4445962,3137454,2023-08-11
"53",4124523,3299502,2020-08-29
"54",4375131,3340434,2023-11-17
"55",4264555,2850109,2021-02-18
"56",4127004,3107033,2023-01-17
"57",4255440,3343768,2020-07-31
"58",4427926,3259845,2024-01-22
"59",4645780,3119236,2025-01-14
"60",4352905,2928913,2021-10-04
"61",4400394,2878272,2023-09-12
"62",4366390,3370261,2022-12-08
"63",4062849,3100280,2023-12-22
"64",4173898,3122679,2023-07-10
"65",4115108,2950653,2021-09-18
"66",4583620,3322807,2022-11-24
"67",4260297,2925097,2023-02-09
"68",4276751,3477822,2023-09-20
"69",4291930,3453881,2020-07-29
"70",4607442,3097884,2023-06-20
"71",4280445,2987758,2023-12-27
"72",4302775,2828222,2025-02-08
"73",4509331,3275760,2020-08-25
"74",4535064,3199360,2025-07-25
"75",4190256,2964556,2023-04-04
"76",4168980,3375657,2023-09-19
"77",4464695,3252002,2020-11-23
"78",4331272,2823741,2025-03-17
"79",4322726,2757332,2022-09-11
"80",4161693,2982887,2024-10-17
"81",4295366,3048134,2022-03-03
"82",4331323,2868895,2022-04-12
"83",4172366,2848411,2024-01-01
"84",4424666,2717634,2024-07-30
"85",4544825,3384972,2023-08-02
"86",4455346,2884957,2020-07-27
"87",4291161,3499751,2022-06-17
"88",4202698,2952835,2020-08-26
"89",4430772,3146698,2025-03-05
"90",4378783,2862243,2024-10-14
"91",4205653,2977314,2025-02-25
"92",4303329,3492105,2025-02-28
"93",4525750,3356852,2023-02-28
"94",4214341,2934044,2023-09-26
"95",4192172,3380867,2020-12-03
"96",4200522,2778674,2025-05-22
