"x","y","date"
4202275,3010706,"2023-10-17"
4438020,2762328,"2024-08-31"
4283569,3341535,"2024-02-26"
4462404,3362980,"2023-11-07"
4273414,2944823,"2022-01-29"
4364698,3240593,"2021-10-19"
4262584,3467724,"2025-03-26"
4328835,3008760,"2023-10-23"
4439270,2819808,"2022-06-26"
4310377,3345053,"2024-11-15"
4595034,3103343,"2022-08-09"
4280185,3075966,"2024-04-13"
4346930,3209323,"2022-03-15"
4457354,3354942,"2021-05-02"
4372406,3384162,"2021-03-22"
4297751,3025251,"2022-03-04"
4541454,3333395,"2024-08-09"
4349344,3218199,"2022-05-22"
4130839,3021856,"2022-01-18"
4457870,3201847,"2021-10-24"
4342386,3367922,"2021-09-12"
4439974,3289217,"2025-01-17"
4249810,3513602,"2024-10-03"
4132963,3198786,"2022-07-20"
4173291,2959105,"2024-05-24"
4045966,3082479,"2024-04-26"
4374740,3289758,"2021-10-17"
4511989,3178642,"2021-09-22"
4278293,3267009,"2021-07-30"
4498357,3438989,"2021-02-10"
4396283,2783398,"2025-03-07"
4249449,3393650,"2024-04-01"
4421712,3064781,"2025-01-01"
4438822,3084579,"2021-01-13"
4486123,2856424,"2025-05-29"
4375428,3461561,"2025-02-14"
4207497,3343364,"2020-12-16"
4575685,3186338,"2025-01-03"
4448929,3331296,"2021-07-16"
4444747,3260034,"2025-03-25"
4277762,3314855,"2025-05-08"
4522775,3104573,"2024-04-09"
4205840,3218878,"2024-03-25"
4497759,2752206,"2025-04-21"
4627588,3098923,"2020-03-22"
4568188,3211731,"2020-03-03"
4418097,3316100,"2020-07-10"
4418186,3403424,"2025-06-14"
4162511,3307490,"2023-03-28"
4069758,2961571,"2022-01-31"
4087808,3092065,"2023-04-26"
4445962,3137454,"2023-08-11"
4124523,3299502,"2020-08-29"
4375131,3340434,"2023-11-17"
4264555,2850109,"2021-02-18"
4127004,3107033,"2023-01-17"
4255440,3343768,"2020-07-31"
4427926,3259845,"2024-01-22"
4645780,3119236,"2025-01-14"
4352905,2928913,"2021-10-04"
4400394,2878272,"2023-09-12"
4366390,3370261,"2022-12-08"
4062849,3100280,"2023-12-22"
4173898,3122679,"2023-07-10"
4115108,2950653,"2021-09-18"
4583620,3322807,"2022-11-24"
4260297,2925097,"2023-02-09"
4276751,3477822,"2023-09-20"
4291930,3453881,"2020-07-29"
4607442,3097884,"2023-06-20"
4280445,2987758,"2023-12-27"
4302775,2828222,"2025-02-08"
4509331,3275760,"2020-08-25"
4535064,3199360,"2025-07-25"
4190256,2964556,"2023-04-04"
4168980,3375657,"2023-09-19"
4464695,3252002,"2020-11-23"
4331272,2823741,"2025-03-17"
4322726,2757332,"2022-09-11"
4161693,2982887,"2024-10-17"
4295366,3048134,"2022-03-03"
4331323,2868895,"2022-04-12"
4172366,2848411,"2024-01-01"
4424666,2717634,"2024-07-30"
4544825,3384972,"2023-08-02"
4455346,2884957,"2020-07-27"
4291161,3499751,"2022-06-17"
4202698,2952835,"2020-08-26"
4430772,3146698,"2025-03-05"
4378783,2862243,"2024-10-14"
4205653,2977314,"2025-02-25"
4303329,3492105,"2025-02-28"
4525750,3356852,"2023-02-28"
4214341,2934044,"2023-09-26"
4192172,3380867,"2020-12-03"
4200522,2778674,"2025-05-22"
4140425,3009950,"2023-10-12"
4176320,2740565,"2020-09-15"
4225785,3402402,"2024-12-22"
4203823,2862608,"2025-05-23"
4434299,2990664,"2022-12-03"
4317335,2807454,"2025-01-04"
4473451,3449427,"2022-02-28"
4433562,3197791,"2020-09-17"
4310969,2832009,"2025-06-28"
4603187,3201489,"2021-08-16"
4526510,3112561,"2024-06-04"
4459313,3109020,"2022-10-24"
4233227,3072098,"2020-05-04"
4385144,3346863,"2025-02-11"
4394807,2743614,"2025-05-13"
4263943,3500488,"2023-03-13"
4538713,2861845,"2022-11-19"
4184021,3389905,"2024-08-15"
4388670,3389904,"2024-07-26"
4297161,3444984,"2020-02-23"
4287136,2888183,"2024-01-21"
4571623,3164212,"2020-04-16"
4595973,3291320,"2025-04-05"
4505631,3472866,"2023-02-21"
4374715,3348813,"2021-11-28"
4215917,3357199,"2024-03-03"
4423271,3105325,"2020-04-04"
4391000,3141772,"2021-06-29"
4309412,2977965,"2024-02-23"
4282022,3507795,"2022-08-14"
4496752,2813787,"2023-12-24"
4320646,2769972,"2021-05-13"
4266359,3487035,"2023-02-17"
4340776,2955865,"2025-01-02"
4374943,3093886,"2024-06-27"
4554937,2807069,"2021-06-14"
4305714,3464707,"2022-09-08"
4169258,3051217,"2022-01-11"
4308662,2795020,"2024-01-29"
4292715,3125652,"2021-04-09"
4402444,3307822,"2024-01-02"
4590238,2845883,"2023-02-01"
4129854,3016899,"2024-02-21"
4562146,3215182,"2022-02-23"
4179111,3144640,"2022-04-25"
4376184,2779271,"2023-12-29"
4245634,2945280,"2022-09-18"
4415940,2960562,"2023-06-10"
4432524,2852750,"2022-12-23"
4251337,3155914,"2024-04-04"
4502557,3424346,"2022-02-05"
