"x","y"
4202275,3010706
4438020,2762328
4283569,3341535
4462404,3362980
4273414,2944823
4364698,3240593
4262584,3467724
4328835,3008760
4439270,2819808
4310377,3345053
4595034,3103343
4280185,3075966
4346930,3209323
4457354,3354942
4372406,3384162
4297751,3025251
4541454,3333395
4349344,3218199
4130839,3021856
4457870,3201847
4342386,3367922
4439974,3289217
4249810,3513602
4132963,3198786
4173291,2959105
4045966,3082479
4374740,3289758
4511989,3178642
4278293,3267009
4498357,3438989
4396283,2783398
4249449,3393650
4421712,3064781
4438822,3084579
4486123,2856424
4375428,3461561
4207497,3343364
4575685,3186338
4448929,3331296
4444747,3260034
4277762,3314855
4522775,3104573
4205840,3218878
4497759,2752206
4627588,3098923
4568188,3211731
4418097,3316100
4418186,3403424
4162511,3307490
4069758,2961571
4087808,3092065
4445962,3137454
4124523,3299502
4375131,3340434
4264555,2850109
4127004,3107033
4255440,3343768
4427926,3259845
4645780,3119236
4352905,2928913
4400394,2878272
4366390,3370261
4062849,3100280
4173898,3122679
4115108,2950653
4583620,3322807
4260297,2925097
4276751,3477822
4291930,3453881
4607442,3097884
4280445,2987758
4302775,2828222
4509331,3275760
4535064,3199360
4190256,2964556
4168980,3375657
4464695,3252002
4331272,2823741
4322726,2757332
4161693,2982887
4295366,3048134
4331323,2868895
4172366,2848411
4424666,2717634
4544825,3384972
4455346,2884957
4291161,3499751
4202698,2952835
4430772,3146698
4378783,2862243
4205653,2977314
4303329,3492105
4525750,3356852
4214341,2934044
4192172,3380867
4200522,2778674
4140425,3009950
4176320,2740565
4225785,3402402
4203823,2862608
4434299,2990664
4317335,2807454
4473451,3449427
4433562,3197791
4310969,2832009
4603187,3201489
4526510,3112561
4459313,3109020
4233227,3072098
4385144,3346863
4394807,2743614
4263943,3500488
4538713,2861845
4184021,3389905
4388670,3389904
4297161,3444984
4287136,2888183
4571623,3164212
4595973,3291320
4505631,3472866
4374715,3348813
4215917,3357199
4423271,3105325
4391000,3141772
4309412,2977965
4282022,3507795
4496752,2813787
4320646,2769972
4266359,3487035
4340776,2955865
4374943,3093886
4554937,2807069
4305714,3464707
4169258,3051217
4308662,2795020
4292715,3125652
4402444,3307822
4590238,2845883
4129854,3016899
4562146,3215182
4179111,3144640
4376184,2779271
4245634,2945280
4415940,2960562
4432524,2852750
4251337,3155914
4502557,3424346
4462174,3346283
4421267,3072280
4224038,3197437
4291639,3351433
4203947,2991280
4431902,2966619
4345093,2877790
4311829,3035763
4350378,3376343
4254641,2804747
4311788,3395794
4432058,3185889
4385880,3384920
4397358,3152575
4389157,3007116
4372130,2743978
4197227,3367870
4186568,2767008
4453339,3379466
4288836,3211251
4618806,3218464
4336842,3424415
4133261,2899933
4294878,3390697
4301799,3389237
4394657,3298868
4251470,3054165
4321129,3389781
4384151,2795803
4267473,3260345
4419189,3376533
4349365,2997269
4384549,3051422
4228738,3231500
4425983,3293058
4507410,2771296
4157807,2796603
4296105,2915487
4259382,3358443
4385850,3189545
4552321,3285059
4495307,3209604
4412794,2880356
4362403,2889630
4216612,3226105
4388839,3151934
4603529,3100643
4057681,2997073
4544141,2866557
4339043,2917382
4501463,3182151
4181303,3181371
4068329,3059103
4219478,3044138
4230547,3268480
4338628,3153330
4446422,3150876
4252274,3052807
4268772,3106874
4129441,3267474
4460696,3215233
4340207,3378465
4240580,3007800
4242713,3175076
4216653,3170829
4345116,3315207
4564223,3086118
4663492,3118538
4257342,2745338
4558805,3229943
4295150,3157784
4268551,2823574
4509005,2811198
4168418,2819619
4318833,3232906
4429986,3360766
4339259,2741349
4333276,3017148
4265709,3175719
4194601,2731330
4459879,2787673
4122716,3226391
4149628,2925683
4434754,3343894
4408218,2967839
4455445,3423227
4576649,2838181
4538930,3091954
4441470,3265161
4456364,3248058
4485681,3419425
4099645,3190350
4380592,3130246
4073811,3094779
4339125,2870551
4300310,3491987
4451752,3305607
4281504,3442214
4554348,3424256
4294547,3292389
4241785,3278533
4132573,2934358
4089803,3081750
4249487,3367421
4194451,2751940
4185543,2947499
4293524,2760180
4596339,3354625
4235070,2838410
4499316,3153664
4478995,3432833
4137168,3156284
4573494,2869093
4531413,3391081
4405734,3196889
4497378,3325860
4570475,2861528
4388561,3015024
4531854,3277292
4478831,3114013
4175858,3091140
4421367,2809062
4476412,2788062
4453739,3452547
4298067,3152333
4204900,3231851
4549147,3168321
4543201,3419796
4110421,3268313
4473610,2982634
4240036,3226295
4158072,3397630
4473225,3327096
4567991,3418032
4085861,3185318
4223732,2783987
4437917,3209100
4216770,3060192
4042370,3087877
4349326,3148936
4095913,3137799
4173136,3377215
4599526,3248530
4260154,2983359
4220857,3055208
4473148,2983246
4334499,3426218
4094475,3139591
4252612,2768923
4373634,3459436
4343852,3415500
4169934,2748524
4375834,2936654
4259885,3165754
4473837,2985673
4381600,3091090
4343052,2742580
4135599,3065074
4314784,3396621
4214894,2935844
4472596,2836059
4428423,3200578
4525174,2743367
4448526,2762538
4291315,2799515
4237865,3339648
4462845,2800555
4175385,2990756
4414326,3397408
4361868,2894455
4099821,3101784
4387562,2921598
4554786,3210981
4231787,2896864
4352092,3166492
4523828,3112902
4224017,3509588
4216831,3100712
4520958,3068685
4128488,3250051
4105996,3003149
4184367,2888757
4352681,2998151
4239273,3216404
4218567,2860106
4337371,3334404
4262218,3032411
4578841,3270545
4413882,2750293
4291700,3086278
4392499,3071924
4332011,3101694
4571041,3167543
4467723,2780594
4268383,2766142
4325151,3374710
4459436,2879822
4123350,3019759
4165706,3112556
4274701,2802144
4328661,2879742
4351543,3038228
4468553,3359655
4547281,2823694
4471438,3423636
4288753,2777402
4213618,3241478
4190448,3047978
4120816,3185250
4071128,3099990
4569742,3350513
4423740,2875538
4353234,2823395
4547077,3359174
4204029,3098072
4554892,3345774
4211153,2809053
4474793,3418706
4548658,3086711
4442619,3047405
4490821,3083133
4283486,3312381
4302354,2861098
4484417,3244011
4530411,3286935
4461432,3024245
4333071,2914213
4495876,3090204
4324072,3278489
4473082,2750605
4402016,3319331
4357658,2980363
4435097,2719956
4498625,3394284
4298283,3288599
4506162,3195708
4642288,3212332
4416688,2951532
4401609,3086999
4240871,3022384
4432629,3108796
4137108,3384599
4363445,2846880
4467832,2765054
4571569,3170835
4105012,3274430
4380036,3314653
4505117,2748932
4194328,3179152
4329894,3445292
4407227,3148512
4386796,2765352
4563336,3183072
4233447,3370135
4560438,3310942
4136188,3366831
4405169,2946531
4194840,3209953
4246005,3033815
4424807,2934660
4266542,3357422
4417376,3217626
4380787,2725110
4256239,2895609
4311181,3038519
4119090,3112747
4401523,3253002
4487784,2763749
4337450,2917398
4533636,3116846
4384584,2765629
4376066,2979586
4424706,3024147
4054061,3054728
4580903,3329032
4425895,2769828
4420406,2761532
4396883,3035832
4258918,3003410
4381204,2996405
4114797,2905932
4527730,2872759
4499055,2823629
4617689,3270667
4192167,2896860
4610264,3180878
4286685,3461226
4573021,3248850
4405444,2807881
4174621,2742850
4289613,3017557
4242993,3241837
4476744,2933789
4454439,2869069
4276940,3495630
4469281,3203017
4176500,3265301
4196259,3217990
4401664,2976191
4484565,3373072
4271762,2744717
4072574,3141659
4338141,3172453
4609660,3237360
4112084,2945391
4605251,3302189
4294077,3454873
4410265,3010514
4280027,3330209
4301555,2939155
4437358,2737379
4552265,2895768
4524671,2768726
4565505,3285113
4467248,2933844
4561645,3164951
4204104,3042636
4256275,2742778
4458187,3398263
4053926,3188212
4487408,3338492
4265865,2892400
4221497,3318526
4422173,3239309
4158013,2811170
4365700,3034218
4343436,2847531
4366731,3219219
4352895,3051846
4272658,3128623
4170793,2942753
4283203,2929708
4352735,2735306
4546779,3198713
4275918,3153767
4222206,2865230
4188833,2853261
4456402,3350394
4322588,3256754
4562259,3355389
4501232,2839797
4427425,2874772
4559546,3085152
4620435,3119234
4364021,3024341
4419696,3320025
4206029,3363635
4574329,3171462
4367701,2898037
4462658,3032753
4310678,3470885
4221866,3529738
4336340,2836648
4393842,2710850
4345240,3234317
4253774,3128514
4156160,3025391
4433654,3217032
4402538,3228218
4096460,3169373
4469023,3018882
4111476,2937001
4420370,3300492
4176557,3318550
4516551,3105531
4486399,2753477
4119805,3044969
4409259,3000296
4429651,2795830
4462153,3263635
4527131,2883654
4190487,3219237
4154837,3201703
4273586,3413624
4532454,3075965
4282138,3081481
4377077,3077259
4074071,3074811
4579394,3363938
4373509,3088736
4213155,3505058
4568542,3410410
4260499,3013400
4242589,3115468
4220124,3102117
4258522,3257289
4189042,3371804
4268034,3008775
4342797,2819502
4461733,3253394
4106767,3065008
4239869,3216688
4101525,2904949
4292220,2888028
4430915,2955406
4556052,3172787
4386812,2824683
4280130,2980006
4158735,2957911
4272397,3267160
4163525,3184186
4387999,2784612
4334174,3038356
4579169,3193476
4071475,3140952
4547111,2862327
4179443,2787651
4196796,3107491
4432818,3089205
4194693,3061673
4270632,3143471
4221634,3286507
4139774,3303947
4056921,3050434
4166547,3039679
4516225,3352574
4486314,2812462
4410982,2791154
4345343,3391380
4180606,3270287
4282349,3005358
4361327,3015891
4427932,2890193
4583918,3408767
4234150,2824139
4354961,3161507
4248273,2935637
4469611,3428829
4129782,3288905
4498212,2756387
4321665,2815149
4381189,2743332
4267694,3181042
4164688,3096891
4176272,2826863
4344070,2987295
4229125,3343874
4579915,3402990
4411577,3244070
4334970,2954475
4310174,2991283
4145832,3118842
4526679,2823977
4155699,3012447
4570215,3184451
4419653,3153822
4382146,2768291
4096167,3221548
4307879,2824993
4187440,3043829
4163702,3388963
4498364,3187760
4332945,3110191
4365865,3290864
4153298,3221594
4486440,3425361
4332684,3347184
4385267,2720388
4387310,3194822
4399880,2976818
4417452,3252598
4195266,3036013
4432017,2750779
4258029,3075486
4243577,2785011
4279306,3128329
4254626,3038987
4485870,3467119
4289100,3402653
4505074,3053469
4269646,3389468
4397422,2838741
4474529,2976242
4473529,2766413
4266454,3393212
4445957,3344539
4627007,3136987
4162240,2788869
4204552,3181239
4610376,3300500
4445793,3231953
4500003,3165839
4330915,3473998
4387097,3246009
4290891,3373353
4373566,3376866
4347481,2774734
4191746,3035123
4474292,3403326
4096904,3222295
4435763,2924960
4302461,3420376
4079887,3134588
4418436,3134369
4392400,2711536
4418996,3214080
4146884,3115208
4459740,2896419
4536427,3413510
4533446,3093609
4213660,2825747
4510614,3100958
4440135,2731895
4355409,2937961
4441539,2725302
4203269,2833665
4252175,2781455
4142538,2924231
4269829,3278894
4429823,3235354
4167519,3167764
4441688,3087018
4465276,3390141
4448426,2878648
4245266,2965065
4317852,2950766
4136854,3177782
4502115,3060982
4336673,2757312
4214653,2962859
4425343,3274711
4174165,2901645
4533655,3306108
4303360,3011734
4168776,3278409
4327858,3204127
4381294,3332080
4375137,3016320
4540570,3166363
4324716,3299950
4324694,3287993
4476288,3141843
4243956,3166453
4303473,3013021
4492119,2950138
4567534,2825303
4485148,2908709
4326623,2989159
4282240,2976923
4522317,3099973
4072823,3019747
4270953,3259358
4064120,3110424
4369170,3116227
4135048,2942220
4671380,3143216
4323466,3468802
4505261,3360065
4557961,2874414
4243122,2951396
4569674,3202988
4248756,2814530
4307903,3388407
4342645,2733411
4471561,2744502
4505608,3444151
4411509,2745423
4300952,2864783
4385705,2974887
4094191,3086486
4585921,3361006
4482143,2736837
4581763,3140201
4283487,3358627
4391360,3458649
4314438,3370308
4185952,3180241
4467299,2919338
4117125,3137844
4614466,3140130
4512690,3197982
4259695,2866356
4633437,3159301
4255911,3413011
4210964,3181654
4427620,3346092
4101377,3222205
4392895,2918804
4136049,3283524
4155653,2785488
4466849,3416757
4178447,2850111
4356164,2805097
4121090,3121884
4295340,2901152
4439062,3347012
4132444,2906219
4459087,3218896
4183602,3373884
4646076,3186578
4365875,2858372
4196164,2845632
4239448,2754502
4172109,3358448
4294876,2844505
4403222,2847234
4528084,2763875
4613768,3219308
4437180,2800178
4214798,2878746
4299115,3113723
4475702,3279498
4131126,2955402
4376363,3242299
4531271,2806464
4467432,2918487
4376233,2960020
4237471,3384480
4491021,2830540
4512393,3426803
4416351,3304775
4565392,2813574
4479357,3179810
4529413,2852168
4176036,2920853
4498385,2875454
4500595,3383369
4206022,3211716
4384351,2785065
4426321,2855325
4284078,2993107
4370366,2763647
4051834,3069690
4340015,3172539
4135530,3324178
4207576,2851870
4336976,3356475
4215462,3023883
4418506,3329405
4448406,2759230
4353423,2837840
4316218,2816268
4067589,3181739
4342293,3262616
4411775,2735746
4405805,3107008
4236248,3342062
4165605,3250850
4316287,2898241
4257968,3487225
4317847,3496518
4338628,3107956
4394153,3387720
4106145,3150506
4376587,2982516
4357815,3324778
4430464,2922304
4294222,3463899
4261764,3382855
4079617,3096245
4230790,2825227
4488688,3048009
4285524,3431271
4396045,3173134
4411225,3376306
4458190,3253558
4300576,3002392
4408503,2937649
4341228,3473425
4073866,3113313
4265157,3528869
4637190,3132873
4318125,3453612
4513998,2812400
4480425,2828790
4341103,2865154
4470519,2762469
4068914,2939838
4265637,3438136
4277080,3316996
4285172,3312766
4131233,3009129
4423196,3060156
4097655,2950809
4284444,3334516
4267418,2773495
4357015,2747419
4508643,3157653
4425337,3001415
4385412,2936451
4168799,2841005
4186372,3323077
4356120,2873712
4120028,2966517
4200081,2961678
4291701,2791151
4205410,3164150
4528381,3165253
4193310,3027387
4120180,3264969
4548055,3084353
4430498,2840194
4120165,2996340
4373207,3463078
4291430,2832914
4330625,3397448
4130640,3291840
4455916,3405562
4431536,3236972
4365856,2823153
4491526,3026415
4586735,3139978
4589758,3397494
4337545,3281203
4202093,3063015
4312396,2892789
4355841,2807977
4205828,2808314
4659912,3095893
4208466,3107376
4404315,3240819
4243259,3035892
4271706,3107982
4231025,3378846
4406783,3109806
4505206,2748511
4331812,2826174
4045656,3101871
4153471,3259297
4377523,3172068
4332174,2787417
4398423,3379396
4488384,3023555
4318629,2747507
4559170,2809203
4498610,3300037
4565954,3330674
4111507,3119155
4585119,3126545
4184418,2999638
4079303,3004517
4346577,3161138
4107640,3219706
4301787,2766100
4458777,2973990
4480482,2761517
4613153,3141502
4544262,3431642
4463506,3133059
4281256,3008062
4451284,2929063
4082636,3137540
4458157,3330139
4122941,3161397
4545327,3195852
4237054,3251234
4136432,3291294
4361038,3338607
4169076,3133184
4320911,3342054
4272632,3200629
4427709,3164374
4527737,2757207
4487402,3098275
4646108,3108362
4098621,3271766
4519216,3199931
4486455,3045446
4501798,3378621
4311396,2734908
4270553,3308328
4294599,3360227
4309063,3462057
4144095,3378860
4215505,2846807
4353695,2905276
4555093,3406341
4237810,3310725
4519628,2803140
4494094,3352372
4454591,3115350
4586526,3232956
4099333,3022706
4179145,2919580
4487677,3316776
4339738,3467848
4278457,3206128
4300045,3145210
4357004,3227797
4316885,3097776
4322270,3351518
4501615,2758813
4260328,2885245
4446348,3377714
4630798,3198724
4140671,3118925
4071938,3192933
4206346,2750028
4271626,3065405
4093996,3118402
4236539,3364095
4501235,2877331
4364135,3092719
4518957,2826984
4392398,3239706
4482227,3290213
4418607,3129085
4297078,3221611
4457170,3253966
4125742,3132782
4072534,3016504
4317047,3128655
4415320,3085994
4194659,2871436
4419413,3060218
4403561,2972904
4480538,3351293
4437138,3170696
4173562,3171359
4285563,3237480
4143266,3302063
4254276,3343580
4144269,3115758
4414994,3143979
4456999,3281313
4056166,3104949
4170499,3196432
4525365,3322417
4274993,3409017
4511849,2739519
4559399,3103388
4102827,3050970
4318472,3046734
4298421,3023781
4386918,2881386
4300450,3456664
4572364,3427248
4552059,3446926
4534485,3188974
4502648,2901296
4197093,2809402
4261228,2898486
4518321,3113506
4380136,2985293
4554430,3069228
4220676,2755847
4388734,2814541
4286721,3154461
4366929,3256357
4632626,3230989
4131573,3210558
4529011,2831790
4585283,3155658
4452337,3123396
4330958,2855534
4267003,3118035
4239919,3527690
4306597,2736158
4295576,3219321
4225219,3205049
4323175,2880322
4414664,3387536
4495382,3399487
